Odmiany;Rok wyników; Typ; Rok rejestracji; Wartość browarna; Plon Ziarna a1; Plon Ziarna a2; MZT; Wyrównanie ziarna; Wysokość roślin; Dojrzałość pełna; Wyleganie; Mączniak prawdziwy; Plamistość siatkowa; Rdza jęczmienia; Rynchospiroza; Czarna plamistość; Zawartość białka
Jovita;2020;pastewny;2020;0;63,40;73,40;48;82;72;202;5;5;5;5;6;5;6;78,4;79,6;67,9;67,9;54,2;62,1;86,5;92,2;75,3;84,2;65,5;73,7;
Kucyk;2020;pastewny;2012;0;60,60;68,90;46;81;75;201;4;5;4;5;5;5;6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSAtrika;2020;pastewny;2013;0;60,80;67,60;48,80;85;74;201;5;5;4;5;5;5;6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSFantex;2020;pastewny;2019;0;62,90;70,70;45,70;81;68;201;6;6;5;5;5;5;5;76,5;68,6;65,9;70,8;57,1;61,6;83,4;85,6;75,2;81,3;67,3;74,0;
KWSHarris;2020;pastewny;2016;0;61,50;68,40;46,60;77;72;201;5;6;5;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSOlof;2020;pastewny;2010;0;61,50;69,20;46,10;77;70;201;5;5;6;6;5;5;5;77,8;68,9;62,0;65,6;53,3;55,8;85,7;81,1;71,3;78,9;62,1;70,8;
KWSVermont;2020;pastewny;2016;0;62,70;71,70;46,60;77;69;201;5;6;5;4;5;5;4;86,1;71,2;63,6;67,5;54,9;61,3;88,4;88,1;73,8;83,6;67,9;79,4;
Lupus;2020;pastewny;2019;0;59,80;68,30;48,20;86;70;201;6;3;5;5;5;4;5;77,9;63,5;63,9;64,1;52,9;60,1;83,9;88,3;72,6;82,3;62,4;71,0;
Mariola;2020;pastewny;2020;0;63,20;71,50;46,20;77;68;201;6;5;5;5;6;5;6;79,7;73,1;65,3;67,8;56,3;60,9;83,0;87,7;73,8;83,9;65,7;74,4;
Mecenas;2020;pastewny;2019;0;62,20;70,10;49;83;74;201;5;4;5;5;5;4;6;76,0;71,0;65,6;68,3;56,8;63,0;83,2;85,8;72,7;82,1;65,2;75,7;
MHRFajter;2020;pastewny;2018;0;63,20;69,20;48,40;84;69;201;4;5;6;6;6;5;5;76,9;70,4;65,1;65,4;55,1;60,7;80,4;77,4;71,4;77,9;59,7;70,9;
MHRFilar;2020;pastewny;2019;0;60,50;68,20;48,80;80;66;201;6;4;5;5;5;4;5;78,2;71,2;62,0;66,2;53,0;58,2;82,7;85,3;70,5;80,1;62,9;72,6;
MHRKrajan;2020;pastewny;2019;0;60,20;68,20;45,90;78;68;201;5;4;4;6;5;4;5;77,3;70,7;63,3;64,6;54,1;57,8;81,8;85,9;71,9;76,4;62,5;69,0;
Oberek;2020;pastewny;2013;0;59,90;67,20;49,80;78;69;200;6;4;5;5;4;5;6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Pasjonat;2020;pastewny;2020;0;60,80;70,20;47,30;86;73;202;7;5;6;5;6;5;6;75,3;70,4;62,8;64,1;54,5;55,3;80,6;83,1;71,2;78,9;62,4;69,2;
Paustian;2020;pastewny;2016;0;60,50;68,80;46,70;84;70;201;6;5;5;5;5;4;4;79,5;65,8;64,6;65,0;54,8;59,4;88,0;78,7;74,6;80,1;65,9;71,6;
Pilote;2020;pastewny;2018;0;63;70,10;47,90;82;70;201;4;5;5;5;5;5;4;80,3;72,0;65,5;65,5;55,1;62,3;84,9;85,4;72,4;78,6;63,3;71,5;
